id,losovani_id,poslanec_id,ministr_id,vec
5569,239,361,5402,ve věci přeměny Špilberku na luxusní hotel
5570,239,348,5383,ve věci nákupu benzínu od BENY
5571,239,360,403,ve věci podání obžaloby v kauze Berdych
5572,239,360,5383,ve věci podezření ze zločinného spolčení v c. Berdych
5573,239,360,295,ve věci ministertva ochrany přírody
5574,238,266,5384,ve věci pokuty EK za nadlimitní zásoby komodit
5575,238,5375,5384,ve věci zdravotnictví
5576,238,423,5384,ve věci usnesení Poslanecké sněmovny z 28. schůze z 20.10.2000
5577,238,347,5384,ve věci počtů úředníků na ministerstvech
5578,238,5378,5384,ve věci gesta vůči sudetoněmeckým antifašistům
5579,238,371,5384,ve věci zběsilé petřvaldské jízdy
5580,238,372,5384,ve věci návštěvy ostravského regionu
5581,239,5256,16,ve věci stabilizace situace v českém paralympijském hnutí
5583,238,401,5384,ve věci situace ve stomatologii
5584,238,401,5384,ve věci územně správního členění státu
5585,240,246,295,ve věci záchrany biotopu ohroženého skládkou po zrušení výjimky MŽP
5586,240,246,403,ve věci zajištění dokumentů MS v kauze Frant. Oldř. Kinského
5587,240,354,403,ve věci nepotrestaných nacistických vrahů
5588,240,401,403,ve věci kauzy Beneš - Berdár
5589,240,401,5383,ve věci kauzy Beneš - Berdár
5590,240,401,396,ve věci problémů ČR s čerpáním dotací z fondů EU
5591,241,401,5384,ve věci organizovaného zločinu
5592,241,401,5384,ve věci nového územně - správního členění státu
5593,240,266,5326,ve věci ztrát Čs. aerolinií
5594,240,266,5294,ve věci dotací českým a moravským vinařům
5595,240,266,5383,ve věci migrace slovenských Rómů
5596,240,266,239,ve věci migrace slovenských Rómů
5597,240,266,5402,ve věci někdejšího fortu olomoucké pevnosti
5598,240,266,389,ve věci bývalých kasáren v Olomouci
5599,240,266,396,ve věci zmocněnců vlády na podporu regionům
5600,240,266,5383,ve věci korupce v České republice
5601,240,5259,5391,ve věci zakázky vyhledávání v registru
5602,240,5256,237,"ve věci Junior centra, a.s. Seč"
5603,240,67,403,ve věci rozhodnutí státního zástupce v kauze Berdár
5604,240,348,5383,ve věci odposlechu střelce Lubiny
5605,240,5273,403,ve věci řízení před obchodními rejstříky
5606,240,406,239,ve věci zákona o ucelené rehabilitaci
5607,241,406,5384,ve věci úhrady diet. potravin pro fenylketonurii a celiakii
5608,241,5273,5384,ve věci jmenování nejvyšší státní zástupkyně
5609,241,347,5384,ve věci počtu úředníků
5610,241,266,5384,ve věci korupce v České republice
5611,242,266,5383,"ve věci jak nevyšetřit kauzu ""5 na stole v českých"""
5612,242,266,237,ve věci ztrát Českých aeroliní
5613,242,266,396,ve věci zmocněnců vlády na podporu regionům
5614,242,266,239,ve věci migrace slovenských Rómů
5615,242,266,5383,ve věci migrace slovenských Rómů
5616,242,266,5294,ve věci dotací českým a moravským vinařům
5617,242,246,403,ve věci zajištění dokumentů MS v kauze Frant. Oldř. Kinského
5618,242,246,295,ve věci záchrany biotopu ohroženého skládkou po zrušení výjimky MŽP
5620,243,304,5384,ve věci výpočtu důchodů horníkům
5621,242,5375,239,ve věci I. náměstka MZd
5622,242,5256,237,ve věci možného vytunelování státní akciové společnosti Junior centrum Seč
5623,242,5256,16,ve věci přístupu ministerstva školství ke sportovním gymnáziím
5624,242,5256,239,ve věci hrozby likvidace neziskových organizací a čerpání fondů EU
5625,242,5256,239,ve věci spěšných výběrových řízení na ředitele pražských nemocnic
5626,242,5256,239,ve věci prvního náměstka min. zdravotnictví a jeho 1. náměstka
5627,242,67,5383,ve věci neonacistického shromáždění 28. 10. v Praze
5628,242,5259,5391,ve věci nálezu NKÚ
5629,242,5259,5391,ve věci vyhledávání v registrech
5630,242,5259,5391,ve věci elektronické evidence účetních dokladů
5631,242,421,239,ve věci Evropské komise - zahájení řízení proti ČR
5632,242,421,239,ve věci vašeho náměstka
5633,242,421,239,ve věci bonusového a sankčního řádu
5634,242,421,239,ve věci zahraničních cest
5635,242,406,239,ve věci realizace projektů EQUAL ze zdrojů ESF
5636,242,406,239,ve věci semináře k zákonu o sociálních službách
5637,244,246,295,ve věci záchrany biotopu ohroženého skládkou po zrušení výjimky MŽP
5638,245,266,5384,ve věci kontaktů premiéra s bývalými spolupr. STB
5639,245,266,5384,ve věci nehorázných výroků ministra Ratha
5640,244,266,5383,ve věci doprovodu policistů nucenému správci VZP
5641,244,266,5383,ve věci potrestání policistů za útěk R. Krejčíře
5642,244,266,389,ve věci státního kontrolora zbraní PČR
5643,244,401,5269,ve věci restituční tečky
5644,244,317,396,ve věci podpory ze SFRB na opravy panelových domů
5646,244,5277,5406,ve věci uvalení nucené správy na VZP
5647,244,5375,5406,ve věci nucené správy VZP
5648,244,421,5406,ve věci nucené správy VZP
5649,244,421,5406,ve věci lékové politiky
5650,244,5376,5406,ve věci nucené správy VZP
5651,244,5259,5391,ve věci veřejné zakázky na MIČR
5652,245,358,5384,ve věci programového prohlášení vlády České republiky
5654,246,111,5384,ve věci zahraniční politiky
5655,246,111,5384,ve věci ministra Ratha
5656,246,111,5384,ve věci konsolidovaného základu daně
5657,246,111,5384,ve věci Evropských fondů
5658,246,5253,5384,ve věci za korupci na PF České republiky je zodpovědná vláda
5659,246,5253,5384,ve věci vytváření korupčního prostoru ve zdravotnictví
5660,246,358,5384,ve věci programového prohlášení vlády České republiky
5661,246,266,5384,ve věci nehorázných výroků ministra Ratha
5662,246,266,5384,ve věci kontaktů premiera s bývalými spolupracovníky STB
5663,246,5274,5384,ve věci situace v rámci zpětného odběru el. zařízení
5664,246,5272,5384,ve věci technopárty - Czechtek
5665,246,371,5384,ve věci zmatků ve zdravotnictví
5666,246,5378,5384,ve věci urážlivých výroků o prezidentu republiky
5667,246,347,5384,ve věci ceny energií
5668,247,5256,5406,ve věci náměstků ministra zdravotnictví
5669,247,5376,5406,ve věci nucené správy VZP
5670,247,358,237,ve věci provádění kontrol celní správy
5671,247,347,5406,ve věci bezplatné biografie
5672,247,383,5406,ve věci státního rozpočtu
5673,247,5375,5406,ve věci ČLK
5674,247,266,5383,ve věci uvalení nucené správy na VZP
5675,247,410,295,ve věci Ptačí oblasti Heřmanský stav Odra Poolší
5676,247,36,416,ve věci protiraketové obrany České republiky
5677,250,5273,5384,ve věci stavu českého vězeňství
5678,248,67,5383,ve věci bezpečnostní situace na letišti v Ruzyni
5679,248,67,5383,ve věci šetření inspekce MV ČR zásahu PČR na Czech teku
5680,248,266,403,ve věci útěku Radovana Krejčíře
5681,248,266,5383,ve věci uvalení nucené správy na VZP
5682,248,266,5383,ve věci dvojího metru Policie ČR
5683,248,266,5383,ve věci akce Czech tek
5684,250,266,5384,ve věci kontaktů premiéra s bývalými spolupr. STB
5685,248,230,295,ve věci hodnocení záměru výstavby vodního díla DOL
5686,248,230,5326,ve věci zpochybňování dohody AGN
5687,248,31,5383,ve věci upozornění a výzvy KSM
5688,248,5295,5326,ve věci nenaplnění dikce § 54 odst. 6 zákona č. 56/2001 Sb.
5689,248,5295,5326,"ve věci ""znovu k pojištění letadel"""
5690,248,5306,5402,ve věci financování reg. divadel
5691,248,5375,5406,ve věci ČLK
5692,248,383,5406,ve věci investiční politiky MZ
5693,248,383,5406,ve věci investiční politiky FN
5694,250,5378,5384,ve věci urážlivých výroků na adresu prezidenta ČR
5695,250,111,5384,ve věci konsolidovaného daňového základu
5696,250,111,5384,ve věci evropských fondů
5697,250,347,5384,ve věci finanční perspektivy
5698,251,31,5383,ve věci upozornění a výzvy MV pro KSM
5699,251,31,416,ve věci údajných převozů zadržovaných a nezákonných věznic
5700,251,31,403,ve věci nástupu výkonu trestu
5701,256,5260,5384,"ve věci restitucí domů, které byly součástí urovnání s USA"
5702,251,5378,5406,ve věci výroků o prezidentu ČR
5703,251,111,5382,ve věci společnosti ŠKODA AUTO
5704,251,111,5326,ve věci stavby silnice Vsetín-Valašské Meziříčí
5705,251,111,422,ve věci iránského jaderného programu
5706,251,421,239,ve věci bezdomovců
5707,251,358,5402,ve věci personální politiky ministra Jandáka
5708,251,358,5402,ve věci památkové péče
5709,251,348,5383,"ve věci ""kauza Balcar"""
5710,251,273,422,ve věci podpory průmyslových zón
5711,251,371,237,ve věci čerpání finančních prostředků z EU
5712,251,371,396,ve věci čerpání prostředků z fondů EU
5713,256,358,5384,ve věci programového prohlášení vlády
5714,251,67,5383,ve věci šetření Inspekce MV - zásahu polic. na Czech teku
5715,251,67,5383,ve věci způsobu zatýkání teroristy na letišti Ruzyně
5716,251,401,5406,ve věci výročních zpráv zdravotních pojišťoven
5717,251,401,5406,ve věci omezení léčby v nemocnicích
5718,257,5275,237,ve věci kolkování lihovin
5719,257,5275,422,ve věci břemen energet. staveb + vyhlášek k zákonu 458
5720,257,406,5406,ve věci úhrady diet. potr. pro fenylketonurii a celiakii
5721,258,406,5384,ve věci úhrady diet. potr. pro fenylketonurii a celiakii
5722,257,266,5383,ve věci uvalení nucené správy na VZP
