id,bod,datum,votes_pro,votes_proti,votes_zdrzel,votes_nehlasoval,prihlaseno,vysledek,nazev
53591,103,1307224800,121,7,32,7,167,A,Ro%u010Dn%ED%20zpr%E1va%20o%20v%FDsledku%20hospoda%u0159en%ED%20%u010CNB%20za%20rok%202010
53592,28,1307224800,151,0,19,0,170,A,Novela%20z.%20o%20hospoda%u0159en%ED%20energi%ED%20-%20EU
53593,28,1307224800,143,3,23,1,170,A,Novela%20z.%20o%20hospoda%u0159en%ED%20energi%ED%20-%20EU
53594,78,1307224800,46,72,40,9,167,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53595,78,1307224800,53,75,31,5,164,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53596,78,1307224800,46,71,30,18,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53597,78,1307224800,143,5,13,4,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53598,78,1307224800,142,6,12,5,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53599,78,1307224800,90,50,13,11,164,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53600,78,1307224800,147,1,11,6,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53601,78,1307224800,87,48,16,14,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53602,78,1307224800,67,64,19,15,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53603,78,1307224800,150,1,9,4,164,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53604,78,1307224800,63,68,17,17,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53605,78,1307224800,49,94,13,9,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53606,78,1307224800,134,15,11,5,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53607,78,1307224800,5,100,37,23,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53608,78,1307224800,85,56,16,8,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53609,78,1307224800,52,31,48,34,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53610,78,1307224800,49,61,27,28,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53611,78,1307224800,14,105,37,9,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53612,78,1307224800,39,98,18,10,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53613,78,1307224800,119,5,32,9,165,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53614,78,1307224800,52,98,9,6,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53615,78,1307224800,47,99,10,9,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53616,78,1307224800,45,100,11,9,165,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53617,78,1307224800,47,99,11,9,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53618,78,1307224800,44,100,14,8,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53619,78,1307224800,46,101,12,7,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53620,78,1307224800,49,95,13,9,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53621,78,1307224800,149,4,8,5,166,A,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53622,78,1307224800,45,97,14,10,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53623,78,1307224800,53,92,9,12,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53624,78,1307224800,47,102,12,5,166,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
53625,78,1307224800,62,88,10,4,164,R,Novela%20z.%20-%20energetick%FD%20z%E1kon%20-%20EU
