id,titul_pred,prijmeni,jmeno,titul_za,poslanec_2010,preferencni,novacek,interpelace_source_count,interpelace_target_count,zakony_predkladatel_count,absence_count,nazor_count,possible_votes_count,vystoupeni_count,strana_id,kraj_id,from_date,to_date,activity_index
213,Doc.Ing.,Grégr,Miroslav,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
214, ,Hofman,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
215,Ing.,Hojdar,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
216,JUDr.,Hulinský,Petr,Ph.D.,1,0,0,43,0,21,1166,2739,4434,48,2,2,1275084000,0,225
217, ,Chobot,František, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
218,prof.JUDr.,Jičínský,Zdeněk,DrSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
219, ,Kapoun,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
220, ,Kopecký,Robert, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
221,Ing.,Kořínková,Květoslava,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
222,Ing.,Kostrhun,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
223,Mgr.,Kučera,Miloslav,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
224, ,Kuneš,Michael, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
225,JUDr.,Kupčová,Jitka, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
226,Ing.,Laštůvka,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
227,Ing.,Macháček,Antonín, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
228,Ing.,Machovec,Karel,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
229, ,Maňásek,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
230,Ing.,Melčák,Miloš,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
231, ,Noveská,Marie,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
232,Ing.,Polášek,Luděk, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
233,Ing.,Sehnalová,Olga, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
234,Ing.,Schling,Jaromír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
235,Ing.,Skopal,Ladislav, ,1,0,0,5,0,33,1874,1725,4434,57,2,7,1275084000,0,287
236, ,Snítilý,Evžen, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
237,Mgr.,Sobotka,Bohuslav, ,1,0,0,50,0,35,1660,1808,4434,307,2,7,1275084000,0,199
238, ,Svoboda,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
239,Ing.,Škromach,Zdeněk, ,1,0,0,0,0,8,48,113,209,11,2,4,1275084000,1287784800,286
240, ,Španbauer,František, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
241,PhDr.,Špidla,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
242,Ing.,Štěpová,Vlasta,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
243,Ing.,Šulák,Petr, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
244, ,Teplík,Tomáš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
245,Ing.,Tešnar,Dušan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
246,Doc.Ing.,Titz,Miloš,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
247,Ing.,Tomíček,Rudolf, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
248,Mgr.,Turek,Radim, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
249,Ing.,Václavek,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
250,Ing.,Vlček,Miloslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
251,"",Zachardová,Jindřiška,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
252,PhDr.,Zaorálek,Lubomír, ,1,0,0,48,0,28,2087,1863,4434,933,2,3,1275084000,0,224
253,Ing.,Zeman,Miloš, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
254, ,Žižka,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
255,Mgr.,Bartoš,Vladimír,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
256,JUDr.,Bartošková,Drahoslava,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
257,Ing.,Bařinka,Vlastimil,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
258,Ing.,Březina,Tomáš,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
259,Ing.,Fójcik,Vavřinec,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
260,Mgr.,Frankl,Michal, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
261,Mgr.,Horníková,Zdeňka, ,1,1,0,2,0,2,1369,2226,4035,35,1,5,1275084000,1365631200,315
262,RNDr.,Huml,Ondřej,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
263,Prof. Ing.,Klaus,Václav,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
264,Ing.,Kočárník,Ivan,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
265,"",Květák,Tomáš,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
266,MUDr. Mgr.,Langer,Ivan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
267,Ing.,Nejezchleb,Karel,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
268,Ing.,Novák,František,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
269,Ing.,Papež,Jiří, ,1,0,0,0,0,7,1689,2234,4434,45,1,6,1275084000,0,321
270,MVDr.,Pešán,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
271, ,Marcová - Petrová,Jana, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
272,Ing.,Pilip,Ivan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
273,Ing.,Plachý,Jaroslav, ,1,0,0,0,0,6,409,3578,4434,22,1,4,1275084000,0,191
274,PhDr.,Plechatá,Ivana,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
275,Mgr.,Pleva,Petr, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
276, ,Ruml,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
277,Ing.,Sehoř,Karel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
